"","10","11","12","20","30","40","50","60","61","70","80","100","110","120","121","122","130","150","170","180","190","200","201","210"
"10",1978456,0,0,0,4,0,18,80,0,0,1,3,117,13,0,0,248,0,18,0,24338,21,0,136
"11",0,40800,0,0,0,0,9,2,0,2,0,0,3,0,0,0,25,0,5,0,1593,0,0,8
"12",0,0,21989,0,0,0,150,2,0,2,0,93,0,1,0,0,0,0,1,0,45,0,0,0
"20",0,0,0,3955640,0,0,123,448,0,4,2,43,4,43,0,0,38,1,157,0,33916,31,0,121
"30",0,0,0,1,93146,0,35,73,0,15,0,45,61,1,0,0,125,0,30,0,2760,0,0,37
"40",1,0,3,23,0,44571,223,180,0,6,0,115,44,6,0,0,94,0,63,0,1045,6,0,23
"50",46,15,1599,167,48,167,9289,0,0,0,0,347,0,37,110,0,0,0,2,14,277,0,0,3
"60",2745,57,190,5187,783,818,0,43943,0,0,0,346,0,11,31,0,1,0,0,5,197,0,0,3
"61",12,3,30,1,0,19,0,0,1593,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0
"70",622,326,182,365,535,86,0,1,0,914,0,84,14,1,5,0,8,0,24,2,84,0,0,124
"71",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
"80",0,0,0,0,0,0,0,0,0,0,155,0,0,0,0,0,0,0,0,0,2,0,0,0
"100",2,5,17,14,3,17,1,0,0,0,0,24771,0,11,12,0,0,0,0,2,458,0,0,1
"110",21,1,0,3,0,0,0,0,0,0,0,0,160,0,0,0,0,0,0,0,20,0,0,14
"120",5700,73,185,7945,329,417,1677,129,3,76,0,2245,0,14655,0,0,13,0,199,3,270,0,0,62
"121",1,2,40,125,2,2,206,0,0,0,0,153,0,0,6638,0,0,0,2,0,9,0,0,0
"122",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1888,0,0,0,0,0,0,0,0
"130",1005,56,0,685,27,14,0,2,0,0,0,0,0,0,0,0,25364,0,2,0,1925,30,0,81
"150",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1510,0,0,132,0,0,4
"170",9,8,4,95,6,13,0,0,0,0,0,4,11,0,3,0,0,0,2721,9,24,0,0,83
"180",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1315,9,0,0,4
"190",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19569,0,0,0
"200",0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,611,0,0
"201",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0
"210",88,32,0,137,4,143,0,30,0,1,0,0,51,0,0,0,298,0,806,73,137,1,0,46423
