esa_1992,group_esa_1992,layer,group_esa_2014
10,10,10,10
11,10,11,10
12,10,12,10
20,20,20,20
30,30,30,30
40,40,40,40
50,50,50,50
60,60,60,60
61,60,61,60
62,60,62,60
70,70,70,70
71,70,71,70
72,70,72,70
80,80,80,80
81,80,81,80
82,80,82,80
90,90,90,90
100,100,100,100
110,110,110,110
120,120,120,120
121,120,121,120
122,120,122,120
130,130,130,130
140,140,140,140
150,150,150,150
151,150,151,150
152,150,152,150
153,150,153,150
160,160,160,160
170,170,170,170
180,180,180,180
190,190,190,190
200,200,200,200
201,200,201,200
202,200,202,200
210,210,210,210
220,220,220,220
